state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,clv
KS,128,No,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,962.4562559405592
OH,107,No,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,784.7766223762918
NJ,137,No,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,579.0921013053222
OH,84,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,588.9016926149486
OK,75,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,738.4699506421596
AL,118,Yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,804.0311289084027
MA,121,,Yes,24,218.2,88,,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,1191.4122682741631
MO,147,Yes,No,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,644.5982386955079
WV,141,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,878.2058386854293
RI,74,No,No,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,761.5702161480423
IA,168,No,No,0,128.8,96,,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,599.0307223028141
IA,62,No,No,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,1114.69879511223
ID,85,No,Yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,1311.98092294152
VT,93,No,No,0,190.7,114,,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,1007.740420039937
VA,76,No,Yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,931.232420583898
TX,73,No,No,0,224.4,90,,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,757.5166552383414
FL,147,No,No,0,155.1,117,,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,1097.859192859251
AZ,130,No,No,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,597.2561482536689
NE,174,No,No,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,905.8691061265974
WY,57,No,Yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,799.5198677148472
MT,54,No,No,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,685.2711978037987
MO,20,No,No,0,190.0,109,,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,1008.754431640317
IL,142,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,715.0029915599785
NH,75,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,725.9342921305732
OK,57,No,Yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,838.9959780156137
GA,72,No,Yes,37,220.0,80,,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,810.2737638993608
MA,78,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,829.0767254530333
AK,136,Yes,Yes,33,203.9,106,,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,862.6863316670856
NJ,149,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,1059.5313071762641
GA,98,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,755.3964726765057
AR,34,No,No,0,124.8,82,,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,1084.105009393428
